roberta_neg_Exp,roberta_neu_Exp,roberta_pos_Exp,roberta_neg_OSF,roberta_neu_OSF,roberta_pos_OSF,Satis_Bloque,Satis_ODS,Satis_Aporte,Satis_Interaccion,Satis_Herramientas,Satis_Exp,Satis_Liderazgo_OSF,Satis_IT,Retro_OSF,Causa_Interesante,Opp_Egoismo,Nvl_Responsabilidad,Respeto_Diversidad,Promover_Soluciones,OSF_encoded
0.005467054,0.20376776,0.79076517,0.0013617426,0.013716987,0.9849213,5,5,5,5,5,3,5,5,1,1,5,5,5,5,118
0.20817839,0.5498161,0.24200551,0.0017394649,0.018456895,0.97980356,5,4,4,5,3,2,4,3,1,1,5,5,5,5,69
0.008042961,0.6724627,0.3194943,0.0013536303,0.019259604,0.97938675,5,5,5,5,5,3,5,5,1,1,5,5,5,5,69
0.20817839,0.5498161,0.24200551,0.0017160606,0.016480876,0.98180306,5,5,5,4,5,3,5,5,1,1,5,5,5,5,69
0.0015167459,0.014326728,0.98415655,0.0035639284,0.015401768,0.98103434,5,5,5,5,4,3,5,5,1,1,5,5,5,5,69
0.20817839,0.5498161,0.24200551,0.009873741,0.06387342,0.92625284,5,4,4,3,2,3,5,3,1,1,4,4,5,4,69
0.0025232737,0.030861676,0.966615,0.002510145,0.045229856,0.95226,4,3,5,5,4,3,5,4,1,1,3,3,4,5,69
0.002029483,0.019794704,0.9781758,0.0013560053,0.01218508,0.98645896,4,5,4,4,5,3,4,5,1,1,5,5,5,5,143
0.0011941608,0.017434917,0.981371,0.0010935131,0.020986812,0.9779197,5,4,5,5,4,3,5,4,1,1,5,4,5,5,143
0.029017603,0.27081552,0.7001669,0.23360552,0.5595244,0.20687008,5,3,4,4,3,2,4,4,1,1,3,4,4,4,78
0.024750013,0.5102486,0.46500146,0.0028295887,0.016917545,0.98025286,5,5,5,5,5,3,5,5,1,1,5,5,5,5,69
0.0018134564,0.024583992,0.97360253,0.4683701,0.4244007,0.10722926,5,5,5,5,5,3,5,5,1,1,5,5,5,5,254
0.0015603834,0.014051972,0.98438764,0.08054566,0.73899704,0.18045737,5,5,5,5,5,3,5,5,1,1,5,5,5,5,242
0.0013625367,0.0310179,0.96761954,0.001407463,0.016587822,0.9820047,5,5,5,3,5,3,5,5,1,1,5,5,5,5,178
0.001620348,0.021026723,0.97735286,0.00207413,0.015936231,0.9819896,5,5,5,5,5,3,5,5,1,1,5,5,5,5,59
0.009561141,0.20245065,0.7879882,0.02605572,0.36519957,0.6087447,5,5,5,5,5,3,5,5,1,1,5,5,5,5,61
0.009438191,0.08540143,0.90516037,0.0017535322,0.034088783,0.9641577,5,5,5,5,5,3,5,5,1,1,5,5,5,5,184
0.017314227,0.14872517,0.8339606,0.017651528,0.18961345,0.79273504,5,4,3,5,3,3,5,5,1,1,4,5,5,4,30
0.004785982,0.1086648,0.8865492,0.066616684,0.64352286,0.28986046,5,5,5,4,5,3,5,3,1,1,5,4,5,5,178
0.0031355612,0.051169146,0.9456952,0.0033374082,0.05069378,0.9459688,5,5,5,5,5,3,5,5,1,1,5,5,5,5,61
0.25829428,0.45127246,0.29043326,0.2582943,0.4512724,0.29043332,5,5,5,5,5,3,5,5,1,1,5,5,5,5,168
0.13906735,0.82390493,0.037027627,0.0034786295,0.02666708,0.96985424,5,5,5,4,3,3,5,5,1,1,5,5,5,5,59
0.0034682627,0.06581028,0.9307214,0.007855922,0.08697439,0.9051697,4,4,4,4,4,1,3,4,1,1,4,4,4,4,108
0.006661549,0.44240698,0.55093145,0.0013758627,0.026350794,0.97227335,5,5,5,5,5,3,5,5,1,1,5,5,5,5,108
0.0076921186,0.050945677,0.94136226,0.008454375,0.35967353,0.6318721,5,5,5,3,5,2,3,4,0,1,5,5,5,5,116
0.0022571243,0.02552915,0.97221375,0.0013614665,0.008893092,0.98974544,5,5,5,5,4,3,5,5,1,1,5,5,5,5,103
0.0039978777,0.024885075,0.971117,0.0022332116,0.008955413,0.9888114,5,5,5,5,5,3,5,5,1,1,5,5,5,5,178
0.0014749388,0.07675091,0.9217741,0.0021435982,0.035574127,0.96228224,5,5,5,5,5,3,5,5,1,1,5,5,5,5,61
0.03267651,0.15583329,0.81149024,0.0016536722,0.011928194,0.98641807,5,5,5,5,5,3,5,5,1,1,5,5,5,5,150
0.0012365786,0.009838582,0.9889248,0.001435591,0.008399399,0.99016505,5,5,5,5,4,3,5,5,1,1,5,5,5,5,118
0.048382316,0.2964597,0.655158,0.04838234,0.29645967,0.655158,4,4,3,3,4,2,3,4,1,1,4,4,4,4,233
0.0028195116,0.015026644,0.9821538,0.001307812,0.012452794,0.9862394,5,5,5,5,3,3,5,5,1,1,5,5,5,5,179
0.0015394448,0.038844027,0.95961654,0.0025296703,0.030648971,0.9668214,5,5,5,5,3,3,5,5,1,1,5,5,5,5,103
0.20817839,0.5498161,0.24200551,0.001324629,0.016014434,0.98266095,5,4,5,5,3,3,5,4,1,1,5,5,5,5,150
0.0037584587,0.030291872,0.96594965,0.0008766409,0.0074948976,0.9916285,5,5,5,5,4,3,5,5,1,1,5,5,5,5,118
0.03767152,0.67464095,0.28768754,0.0012282837,0.009910581,0.98886114,5,5,5,5,3,3,5,5,1,1,5,5,5,5,66
0.004061368,0.071048684,0.92489,0.002499937,0.049905535,0.9475945,4,4,4,4,4,2,4,4,1,1,4,5,5,5,45
0.0019236015,0.008935849,0.9891405,0.0011720327,0.023602178,0.97522575,5,5,5,5,5,3,5,5,1,1,5,5,5,5,150
0.0014853132,0.010151625,0.9883631,0.0013503418,0.009206328,0.9894433,5,5,5,5,5,3,5,5,1,1,5,5,5,5,30
0.00214608,0.04765995,0.950194,0.0015730892,0.010427032,0.98799986,5,5,4,3,5,3,5,5,1,1,5,5,5,5,254
0.0019383193,0.018636253,0.9794254,0.0012199132,0.009875292,0.9889048,4,4,4,5,4,2,4,4,1,1,4,4,4,4,78
0.0040076477,0.05450174,0.94149065,0.005455626,0.15702239,0.83752203,5,5,5,5,5,3,5,5,1,1,4,5,3,3,118
